fold,param_BB_N,param_BB_K,is_Sharpe Ratio,is_Return [%],is_Return (Ann.) [%],is_Max. Drawdown [%],is_Win Rate [%],is_Profit Factor,is_# Trades,is_max_bars_close_ratio,is_signal_close_ratio,oos_Sharpe Ratio,oos_Return [%],oos_Return (Ann.) [%],oos_Max. Drawdown [%],oos_Win Rate [%],oos_Profit Factor,oos_# Trades,oos_max_bars_close_ratio,oos_signal_close_ratio,test_regime,test_close_return,test_atr_median_normalized,test_close_range_pct,test_bars,train_bars
0,10,1.5,-1.4437739538646162,-12.960246883225768,-20.55652914778012,-19.921511722995266,55.240793201133144,0.8335923466917746,353.0,0.0,0.6458923512747875,-3.5591086619245003,-12.116654328376741,-41.421926928684464,-18.186620094668704,57.54189944134078,0.7721195575677215,179.0,0.0,0.6703910614525139,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,10,2.0,-1.3686285565441223,-11.077164782451547,-17.68681232479671,-21.860269970092936,52.44444444444445,0.7399782964507775,225.0,0.0,0.5822222222222222,0.46327624793679606,3.131118272907892,8.217454408964397,-8.074677172199484,61.94690265486725,1.0807927129196258,113.0,0.0,0.6371681415929203,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,10,2.5,-0.8481204904852712,-4.149956608343672,-6.7858177456051605,-10.899398360810252,45.28301886792453,0.619446995836869,53.0,0.0,0.4716981132075472,-2.715501319894766,-5.09465086122686,-18.60792947092763,-7.294374083706789,52.0,0.5925784479132706,25.0,0.0,0.52,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,10,3.0,,0.0,0.0,-0.0,,,0.0,,,,0.0,0.0,-0.0,,,0.0,,,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,14,1.5,-2.4000793811112464,-19.572027863129055,-30.491865496616878,-22.03209929094382,54.421768707483,0.7754097780586588,294.0,0.0,0.5340136054421769,-1.3434434536121762,-4.491599287133687,-19.240732949606944,-11.284440605510927,56.00000000000001,0.9179755576928921,150.0,0.0,0.58,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,14,2.0,-0.7430225068949129,-6.909717928252741,-11.193106339644798,-14.627620717572476,51.5,0.9164798882451081,200.0,0.0,0.47,-0.229953753397602,-0.0128060277112294,-4.202039646042466,-6.750409804950463,54.807692307692314,1.0280126880753822,104.0,0.0,0.5192307692307693,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,14,2.5,-0.8993078599093364,-5.686357088731334,-9.249875282977404,-13.556286708835408,47.5,0.7078574103179284,80.0,0.0,0.3375,-0.08833254979652548,-0.2727132756997482,-1.069514979140218,-5.02412371216402,50.0,0.9946239328061923,36.0,0.0,0.2777777777777778,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,14,3.0,0.4843529993739793,1.7226727320474107,2.872162559118552,-4.212919163854112,52.94117647058824,1.0644488738074167,17.0,0.0,0.23529411764705882,-1.480521835978507,-2.0943939785358845,-7.996411381440083,-3.982829686952105,37.5,0.5934218288104215,8.0,0.0,0.25,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,20,1.5,-2.390446401602437,-20.32980349621915,-31.394493849685702,-23.363110187052417,51.80722891566265,0.7827920130816955,249.0,0.0,0.4497991967871486,-1.0321721737710652,-4.572175647182251,-16.82929148910993,-11.574082540350638,55.00000000000001,0.9218286414468676,120.0,0.0,0.45,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,20,2.0,-2.194275798968232,-16.877903756972533,-26.396513548764876,-21.317343516653196,47.59036144578313,0.7155241982518875,166.0,0.0,0.3855421686746988,-1.4089272584690349,-5.576503686966921,-20.222980852055883,-9.058669344117598,51.76470588235295,0.9171888144436755,85.0,0.0,0.38823529411764707,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,20,2.5,-1.6897789907021494,-10.947360368263721,-17.487510631877214,-22.231116804999363,42.04545454545455,0.6717058597906007,88.0,0.0,0.2727272727272727,-3.5765842293838537,-9.093680928253313,-31.298825443577904,-11.777547016260392,40.0,0.6268348908202047,40.0,0.0,0.275,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,20,3.0,0.3534910842703069,1.575608223671699,2.625707173083147,-7.259246847517032,48.0,1.1171941497964133,25.0,0.0,0.08,0.5987658660581795,1.245863523841719,4.996077491369166,-3.1229388854062456,50.0,1.251125488813249,14.0,0.0,0.2857142857142857,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,28,1.5,-1.8635772183252355,-15.775597927450017,-24.771232378463225,-27.203785492459453,49.44444444444444,0.784319247840065,180.0,0.0,0.35555555555555557,-0.49079323994222385,-2.0462848544853274,-7.818272529757698,-8.087373934406983,51.06382978723404,0.9764669158145228,94.0,0.0,0.3617021276595745,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
0,28,2.0,-2.5484845403640057,-18.555047296315884,-28.842253554796315,-29.371920722810753,42.42424242424242,0.6634355912923904,132.0,0.0,0.2196969696969697,-0.7183068379278658,-2.4409083044643745,-9.2719119878225,-9.064366953855874,45.3125,0.9809118316008261,64.0,0.0,0.25,down,-0.025046226919606385,1.1938482883103543,0.05630974509949429,1493,3043
