fold,param_BB_N,param_BB_K,is_Sharpe Ratio,is_Return [%],is_Return (Ann.) [%],is_Max. Drawdown [%],is_Win Rate [%],is_Profit Factor,is_# Trades,is_max_bars_close_ratio,is_signal_close_ratio,oos_Sharpe Ratio,oos_Return [%],oos_Return (Ann.) [%],oos_Max. Drawdown [%],oos_Win Rate [%],oos_Profit Factor,oos_# Trades,oos_max_bars_close_ratio,oos_signal_close_ratio,test_regime,test_close_return,test_atr_median_normalized,test_close_range_pct,test_bars,train_bars
0,10,1.5,-1.6111463568643511,-15.303969023187552,-23.812662094375813,-23.7806435134013,56.94050991501416,0.883798402545617,353.0,0.0,0.6203966005665722,0.5396875199093342,3.112339059397241,15.63661419793414,-13.459463774941781,56.470588235294116,1.04044961147735,170.0,0.0,0.6470588235294118,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,10,2.0,-2.0101543748045256,-15.22883677861551,-23.95984855336216,-22.26396767009001,51.8348623853211,0.7643792521379862,218.0,0.0,0.536697247706422,1.9507966728434099,12.331200903122848,57.301193096034986,-5.027797638954934,61.6822429906542,1.3890681643835832,107.0,0.0,0.6074766355140186,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,10,2.5,-2.6480376952768805,-11.593655451161181,-18.47793609244229,-15.388605899943887,45.16129032258064,0.608593966138554,62.0,0.0,0.46774193548387094,-0.272746336490633,-0.5647941081638216,-2.2054960256266187,-3.562367158065949,56.52173913043478,1.153979055979697,23.0,0.0,0.5652173913043478,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,10,3.0,,0.0,0.0,-0.0,,,0.0,,,,0.0,0.0,-0.0,,,0.0,,,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,14,1.5,-0.8050919201587987,-8.875127844867144,-13.974739746679388,-19.041889680333146,57.09219858156028,0.9020843105798104,282.0,0.0,0.5106382978723404,0.6867448050300689,3.6701839227163466,18.119564308966552,-8.735863436232938,57.446808510638306,1.0953966583857535,141.0,0.0,0.5673758865248227,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,14,2.0,-1.8610833470257802,-15.12720789131464,-23.808652600494973,-24.81730376325787,50.27027027027027,0.7384628193022009,185.0,0.0,0.4594594594594595,0.46724499284624427,1.7210773828607984,9.61382886471509,-6.057914792763119,53.93258426966292,1.1190534457952994,89.0,0.0,0.5168539325842697,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,14,2.5,-2.06723763108867,-12.177876244612246,-19.369145748394565,-16.25245110287883,43.037974683544306,0.6481647560799242,79.0,0.0,0.35443037974683544,-1.2169180331933127,-2.254937702118082,-11.243449540753625,-8.2218086781216,50.0,1.0439129108051173,38.0,0.0,0.39473684210526316,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,14,3.0,-2.2827285736210325,-8.020267597328301,-12.94266009022781,-12.224359263566086,33.33333333333333,0.45759687700217405,27.0,0.0,0.37037037037037035,-0.3851432597064874,-0.48183488824716764,-1.883840041336149,-2.01544618378523,40.0,1.1864155779351773,5.0,0.0,0.2,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,20,1.5,-2.763018167616423,-20.782129469987343,-32.1716213135913,-26.884744904076907,49.76525821596244,0.8503031517491716,213.0,0.0,0.4413145539906103,-0.6715946874073,-3.541244489799312,-13.234861494462514,-12.241098384097093,51.35135135135135,0.9871548603632089,111.0,0.0,0.4144144144144144,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
0,20,2.0,-5.479610610282789,-30.474920632856467,-45.262215860616806,-34.88931815626213,38.028169014084504,0.5963922952641775,142.0,0.0,0.28169014084507044,0.060111555089920006,0.31039972820376277,1.2277821079654583,-8.638804626869668,53.16455696202531,1.0532913858523134,79.0,0.0,0.379746835443038,flat,0.019043700690829397,1.1682648664800608,0.06290190858101626,1487,3025
