fold,param_DC_N,param_DC_EXIT,is_Sharpe Ratio,is_Return [%],is_Return (Ann.) [%],is_Max. Drawdown [%],is_Win Rate [%],is_Profit Factor,is_# Trades,is_max_bars_close_ratio,is_signal_close_ratio,oos_Sharpe Ratio,oos_Return [%],oos_Return (Ann.) [%],oos_Max. Drawdown [%],oos_Win Rate [%],oos_Profit Factor,oos_# Trades,oos_max_bars_close_ratio,oos_signal_close_ratio,test_regime,test_close_return,test_atr_median_normalized,test_close_range_pct,test_bars,train_bars
0,10,0.5,0.7087417967927856,11.8734445578821,21.127721070046412,-14.098406343282932,31.9047619047619,1.2620734923459094,210.0,0.0,0.8714285714285714,-2.8169841805121587,-11.138109960824682,-36.54097972652741,-14.710025288946904,31.132075471698112,0.7624187360400243,106.0,0.0,0.8113207547169812,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,10,1.0,0.506922077453871,8.786091830755515,15.636276392323257,-14.667502591883796,32.04419889502763,1.1068031608437654,181.0,0.0055248618784530384,0.7237569060773481,-3.5686264845191653,-13.758537676711999,-43.791027948986994,-16.29128781715774,30.851063829787233,0.7235962563502908,94.0,0.0,0.648936170212766,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,10,1.5,0.5012153206354639,8.876364980101632,15.795407392123796,-13.05425103287079,31.446540880503143,1.0474663660261916,159.0,0.012578616352201259,0.5849056603773585,-2.5756946621013506,-11.623215315348538,-38.10862896421323,-16.31306608459383,37.34939759036144,0.772573096958037,83.0,0.0,0.5421686746987951,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,10,2.0,0.024920141975457007,0.06718217552799033,0.679917676994668,-17.492164999798966,29.850746268656714,1.0137588403523357,134.0,0.05223880597014925,0.4253731343283582,-6.015918757852756,-20.76119174259653,-59.729078055054515,-22.75651556928342,30.555555555555557,0.5387903627802411,72.0,0.0,0.3888888888888889,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,20,0.5,0.9376060213790173,15.326733982915943,26.6698947352465,-15.495992846858876,28.8135593220339,1.2123898042207513,118.0,0.00847457627118644,0.7457627118644068,-1.9792414499872029,-8.106709706526983,-28.314722581886553,-12.959107321063524,35.59322033898305,0.7170231114603753,59.0,0.0,0.6949152542372882,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,20,1.0,0.42784428958230764,6.616903931183507,11.207144585325102,-18.40669575351623,28.971962616822427,1.0375641521217034,107.0,0.028037383177570093,0.5327102803738317,-2.5972147797419187,-10.915214007252954,-36.561713665802095,-16.230516013928774,35.714285714285715,0.6478636250768183,56.0,0.0,0.5178571428571429,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,20,1.5,-0.08702878795305372,-1.2502504680298967,-2.0642467986163537,-19.717397039573314,28.846153846153843,0.9351011363046489,104.0,0.038461538461538464,0.4230769230769231,-2.3367690823441136,-10.633665181907185,-35.76859607056028,-16.47357746867271,35.18518518518518,0.6730633359665015,54.0,0.018518518518518517,0.37037037037037035,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,20,2.0,-0.08238677221731554,-1.1676160842936136,-1.9283395787211832,-18.999285938681766,27.27272727272727,0.9236562660269492,99.0,0.09090909090909091,0.3333333333333333,-3.367072412282962,-14.13948749871729,-45.13292433656508,-19.21293142656033,30.76923076923077,0.5406618145909723,52.0,0.019230769230769232,0.38461538461538464,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,40,0.5,0.6918517039914099,10.382323463133746,17.79392885084401,-14.020015604609116,27.536231884057973,1.1702196051251537,69.0,0.10144927536231885,0.391304347826087,-2.689033798190944,-11.032581756131119,-36.89016933496029,-15.1704504048624,30.76923076923077,0.47256913663899747,39.0,0.0,0.4358974358974359,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
0,40,1.0,0.4616016562388007,6.779126483328198,11.487812056353297,-15.893945789179009,26.08695652173913,1.0987465458128096,69.0,0.11594202898550725,0.30434782608695654,-1.9091670973184318,-9.020868783135306,-31.08190256805148,-13.318887220426856,27.77777777777778,0.5485960887361235,36.0,0.05555555555555555,0.3611111111111111,down,-0.03838288765430417,1.086656424666917,0.06833995336796167,1495,3044
