segment,start,end_exclusive,trade_count,pnl
1,2024-07-21,2024-12-12,19,29606.504621251755
2,2024-12-12,2025-05-05,22,18419.41636022806
3,2025-05-05,2025-09-26,18,12328.852481862063
4,2025-09-26,2026-02-17,13,-9219.019290017692
5,2026-02-17,2026-07-11,10,-20770.14394617842
