Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma,Exit_sma,Entry_bb_upper,Exit_bb_upper,Entry_bb_lower,Exit_bb_lower,Entry_atr,Exit_atr
-47843,108,121,96.43534824688842,96.21900177001953,96.64801597487664,96.16031901185067,10350.664492838425,0.0,0.0022434354290401526,2025-08-08 11:00:00+00:00,2025-08-11 01:00:00+00:00,2 days 14:00:00,,96.02600015912738,96.21600014822823,96.48116731166706,96.73576688415628,95.57083300658769,95.69623341230019,0.13688868501478255,0.1269321648466286
-50342,145,149,96.7143341109941,96.45840627831157,96.92669165967452,96.45840627831157,12883.918952903961,0.0,0.0026462244199377816,2025-08-12 01:00:00+00:00,2025-08-12 05:00:00+00:00,0 days 04:00:00,,96.34553555079869,96.39460727146694,96.71841785390396,96.8452992670591,95.97265324769342,95.94391527587477,0.13523893077275004,0.1583088010494825
51696,193,196,96.13163799033417,95.93106831378304,95.93106831378304,96.39290378800283,-10368.64999898701,0.0,-0.002086406522806672,2025-08-14 01:00:00+00:00,2025-08-14 04:00:00+00:00,0 days 03:00:00,,96.47417858668736,96.42553574698312,96.8084103692686,96.92399750641707,96.13994680410612,95.92707398754916,0.14352768732190208,0.1476223667265611
44145,199,204,95.75761939175125,95.523558684023,95.523558684023,96.05891790942115,-10332.609942663466,0.0,-0.0024443037453832916,2025-08-14 07:00:00+00:00,2025-08-14 12:00:00+00:00,0 days 05:00:00,,96.34014320373535,96.16582134791783,97.00594245770964,97.01681718787162,95.67434394976107,95.31482550796403,0.15217681528021823,0.14916978853744345
49684,269,275,95.67061720738862,95.93204311464112,95.46122118879944,95.93204311464112,12988.684775933289,0.0,0.0027325621479561413,2025-08-19 06:00:00+00:00,2025-08-19 12:00:00+00:00,0 days 06:00:00,,95.97057151794434,95.92639296395438,96.2133764906327,96.18135241903339,95.72776654525597,95.67143350887538,0.137626325495344,0.13232762339877122
48283,278,279,95.51661044676773,95.29867800399545,95.29867800399545,95.78943559428211,-10522.432134374016,0.0,-0.0022816182625506887,2025-08-19 15:00:00+00:00,2025-08-19 16:00:00+00:00,0 days 01:00:00,,95.87403597150531,95.84482192993164,96.27475296811967,96.30390771199735,95.47331897489094,95.38573614786593,0.1388434624750061,0.1374263077195369
-40118,326,335,95.19240438903915,95.44750725669043,95.44750725669043,94.86298704885938,-10234.216844433824,0.0,-0.0026798657864413045,2025-08-21 15:00:00+00:00,2025-08-22 00:00:00+00:00,0 days 09:00:00,,94.78807095118931,94.98174912588937,95.2140368558112,95.61678459638095,94.36210504656742,94.34671365539778,0.1641481399303824,0.14835875262330492
-51299,456,470,96.13336086837768,96.13099670410156,96.33191389168586,95.87944928374178,121.27926320048999,0.0,2.4592547839374923e-05,2025-08-29 02:00:00+00:00,2025-08-29 16:00:00+00:00,0 days 14:00:00,,95.93614387512207,96.03085763113839,96.10964576256511,96.24999141107138,95.76264198767903,95.8117238512054,0.12961325107524402,0.11795334327958436
-57415,478,480,96.39034462052841,96.16395701221994,96.56827636620125,96.16395701221994,12998.044531030864,0.0,0.002348654413465545,2025-09-01 01:00:00+00:00,2025-09-01 03:00:00+00:00,0 days 02:00:00,,96.11149978637695,96.1274997166225,96.38603789875182,96.37855301967743,95.83696167400208,95.87644641356756,0.11669669680622582,0.12034062506227187
-54982,487,499,96.45434452246673,96.41600036621094,96.64331023630986,96.21558421535639,2108.238399255798,0.0,0.00039753684964249913,2025-09-01 10:00:00+00:00,2025-09-01 22:00:00+00:00,0 days 12:00:00,,96.19149998256138,96.34285736083984,96.48207687604554,96.69707487568165,95.90092308907722,95.98863984599804,0.12033552290303524,0.09896235166173971
