Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_dc_upper,Exit_dc_upper,Entry_dc_lower,Exit_dc_lower,Entry_dc_midline,Exit_dc_midline,Entry_atr,Exit_atr
29183,89,104,93.31450069907594,92.97599792480469,92.96733452467143,,-9878.526461557833,0.0,-0.0036275473986927542,2025-05-08 16:00:00+00:00,2025-05-09 07:00:00+00:00,0 days 15:00:00,,93.38600158691406,93.5469970703125,92.21199798583984,92.21199798583984,92.79899978637695,92.87949752807617,0.2263388422537145,0.20286357196970423
35506,120,169,93.62251422031768,95.3759994506836,93.33213998355116,,62259.24658937203,0.0,0.018729311479923627,2025-05-12 00:00:00+00:00,2025-05-14 01:00:00+00:00,2 days 01:00:00,,93.74800109863281,95.6449966430664,92.46499633789062,94.05400085449219,93.10649871826172,94.8494987487793,0.19091369083505674,0.20797090079153974
-32654,193,236,94.04846240596085,93.49700164794922,94.37628084613272,,18007.399592111735,0.0,0.005863580795518408,2025-05-15 01:00:00+00:00,2025-05-16 20:00:00+00:00,1 days 19:00:00,,95.6449966430664,94.10199737548828,94.0260009765625,92.73799896240234,94.83549880981445,93.41999816894531,0.22300628656151414,0.17384100243399772
41210,254,265,93.56151426732468,93.34200286865234,93.29526622413263,,-9046.064739287069,0.0,-0.00234617193181752,2025-05-19 15:00:00+00:00,2025-05-20 02:00:00+00:00,0 days 11:00:00,,93.63099670410156,93.8479995727539,92.73799896240234,92.86900329589844,93.18449783325195,93.35850143432617,0.17143076982637703,0.17080573983534758
-32156,269,280,92.61152766642273,92.94705354910178,92.94705354910178,,-10789.170283427544,0.0,-0.003622938646337559,2025-05-20 06:00:00+00:00,2025-05-20 17:00:00+00:00,0 days 11:00:00,,93.8479995727539,93.8479995727539,92.5260009765625,92.49199676513672,93.1870002746582,93.16999816894531,0.22367773010337436,0.2042956518196631
-31316,313,328,92.15755482523285,92.49746101307406,92.49746101307406,,-10644.502178435283,0.0,-0.003688316041867701,2025-05-22 02:00:00+00:00,2025-05-22 17:00:00+00:00,0 days 15:00:00,,92.99800109863281,92.93699645996094,92.12699890136719,91.98799896240234,92.5625,92.46249771118164,0.21895026389470834,0.20475897789680658
-32905,347,348,91.8885629856282,92.20702955211338,92.20702955211338,,-10479.14237019501,0.0,-0.00346579112935963,2025-05-23 12:00:00+00:00,2025-05-23 13:00:00+00:00,0 days 01:00:00,,92.84400177001953,92.84400177001953,91.8010025024414,91.64700317382812,92.32250213623047,92.24550247192383,0.2290662518128395,0.23070429820957863
33304,358,376,92.86448203398102,92.55490329680487,92.55490329680487,,-10310.210262914605,0.0,-0.0033336613783391256,2025-05-26 00:00:00+00:00,2025-05-26 18:00:00+00:00,0 days 18:00:00,,92.96900177001953,93.1969985961914,91.64700317382812,91.64700317382812,92.30800247192383,92.42200088500977,0.20263010517502025,0.14540283613925345
35774,430,441,93.59251399327972,93.3031224015815,93.3031224015815,,-10352.694801412104,0.0,-0.0030920378067736953,2025-05-29 00:00:00+00:00,2025-05-29 11:00:00+00:00,0 days 11:00:00,,93.697998046875,93.85299682617188,92.66100311279297,92.73400115966797,93.17950057983398,93.29349899291992,0.19263724464737222,0.19014722493381433
-36223,454,469,92.62953216857727,92.83100128173828,92.91348446335617,,-7297.81568603129,0.0,-0.0021749987120127656,2025-05-30 00:00:00+00:00,2025-05-30 15:00:00+00:00,0 days 15:00:00,,93.85299682617188,93.85299682617188,92.62799835205078,92.00900268554688,93.24049758911133,92.93099975585938,0.1935370536271079,0.22332869769431538
34333,516,541,92.9914870643152,92.86000061035156,92.69530936531186,,-4514.32442393337,0.0,-0.001413962268101976,2025-06-03 15:00:00+00:00,2025-06-04 16:00:00+00:00,1 days 01:00:00,,93.04900360107422,93.59500122070312,92.05400085449219,92.05400085449219,92.5515022277832,92.82450103759766,0.18871283442469036,0.20098956783134606
31699,565,567,93.7345267668956,93.41249749826358,93.41249749826358,,-10208.005786366468,0.0,-0.0034355458947679107,2025-06-05 16:00:00+00:00,2025-06-05 18:00:00+00:00,0 days 02:00:00,,93.76599884033203,93.77999877929688,92.52300262451172,92.52300262451172,93.14450073242188,93.1515007019043,0.21726196390742802,0.2183995641016814
37147,586,626,93.89153202426773,94.08699798583984,93.61937594073649,,7260.9740745192175,0.0,0.002081827374183165,2025-06-06 13:00:00+00:00,2025-06-10 06:00:00+00:00,3 days 17:00:00,,93.94100189208984,94.60199737548828,92.52300262451172,93.85199737548828,93.23200225830078,94.22699737548828,0.18250711969474356,0.16757120112110815
-35046,669,701,93.66847586218398,93.30400085449219,93.95662012534909,,12773.391119566628,0.0,0.0038911170950197693,2025-06-12 01:00:00+00:00,2025-06-13 09:00:00+00:00,1 days 08:00:00,,94.7509994506836,94.37999725341797,93.62999725341797,92.31099700927734,94.19049835205078,93.34549713134766,0.20514750522679595,0.26461692567429873
33316,727,757,94.02953917245254,94.05799865722656,93.71681305953479,,948.1561947311855,0.0,0.0003026653647830724,2025-06-16 12:00:00+00:00,2025-06-17 18:00:00+00:00,1 days 06:00:00,,94.0510025024414,94.83999633789062,92.31099700927734,93.41400146484375,93.18099975585938,94.12699890136719,0.1965665990151988,0.22936188475190475
