Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_dc_upper,Exit_dc_upper,Entry_dc_lower,Exit_dc_lower,Entry_dc_midline,Exit_dc_midline,Entry_atr,Exit_atr
18802,24,39,155.26455311828613,155.01199340820312,154.7531591811623,,-4748.627668980669,0.0,-0.0016266411425575056,2025-02-04 00:00:00+00:00,2025-02-04 15:00:00+00:00,0 days 15:00:00,,155.29600524902344,155.52099609375,154.00399780273438,154.81900024414062,154.6500015258789,155.1699981689453,0.34523698987944307,0.2956655731209289
-22440,40,79,154.67145742034913,152.55799865722656,155.1154954299939,,47426.01464447037,0.0,0.013664180828003913,2025-02-04 16:00:00+00:00,2025-02-06 07:00:00+00:00,1 days 15:00:00,,155.52099609375,152.75100708007812,154.5330047607422,151.80799865722656,155.0270004272461,152.27950286865234,0.2897607062211081,0.2923081701961671
-22508,88,101,151.68747847137453,151.6750030517578,152.15024301298143,,280.7967447331399,0.0,8.224422834657297e-05,2025-02-06 16:00:00+00:00,2025-02-07 05:00:00+00:00,0 days 13:00:00,,152.89700317382812,151.74000549316406,151.656005859375,150.95199584960938,152.27650451660156,151.34600067138672,0.31412959455490536,0.27941879289352495
25066,103,109,151.83551797378541,151.413919388672,151.413919388672,,-10567.790134452503,0.0,-0.0027766795986837733,2025-02-07 07:00:00+00:00,2025-02-07 13:00:00+00:00,0 days 06:00:00,,151.83599853515625,152.2449951171875,150.95199584960938,151.44200134277344,151.3939971923828,151.84349822998047,0.27386033286821315,0.3211986603987656
20335,121,133,152.0075167640686,151.86199951171875,151.50231958158824,,-2959.0933265344397,0.0,-0.0009573030034805141,2025-02-10 02:00:00+00:00,2025-02-10 14:00:00+00:00,0 days 12:00:00,,152.13800048828125,152.53799438476562,150.9239959716797,151.75900268554688,151.53099822998047,152.14849853515625,0.3362029235210747,0.28683540739859986
-23926,134,137,151.63347815689087,152.06625469801196,152.06625469801196,,-10354.611522863108,0.0,-0.0028540962482790366,2025-02-10 15:00:00+00:00,2025-02-10 18:00:00+00:00,0 days 03:00:00,,152.53799438476562,152.53799438476562,151.58099365234375,151.5590057373047,152.0594940185547,152.04850006103516,0.27598962878698113,0.264738739713593
32848,154,193,152.12952726150513,154.2570037841797,151.82276121495593,,69883.34881681381,0.0,0.013984639017628142,2025-02-11 11:00:00+00:00,2025-02-13 02:00:00+00:00,1 days 15:00:00,,152.1490020751953,154.80299377441406,151.64500427246094,154.1179962158203,151.89700317382812,154.4604949951172,0.2106928312875102,0.2840646452266817
-26551,198,247,154.0454566003418,151.802001953125,154.45812797758822,,59565.96433825309,0.0,0.014563588545407402,2025-02-13 07:00:00+00:00,2025-02-17 10:00:00+00:00,4 days 03:00:00,,154.66900634765625,152.11300659179688,153.95700073242188,151.47000122070312,154.31300354003906,151.79150390625,0.2797432867212731,0.24647837103371037
-36104,253,261,151.3624847731018,151.680113546565,151.680113546565,,-11467.669237114802,0.0,-0.002098464318548432,2025-02-17 16:00:00+00:00,2025-02-18 00:00:00+00:00,0 days 08:00:00,,151.94400024414062,151.6219940185547,151.33200073242188,151.2259979248047,151.63800048828125,151.4239959716797,0.20514241394034902,0.1872892456246495
40474,262,273,151.68451548721313,151.78399658203125,151.3970599059771,,4026.397831668461,0.0,0.0006558421240201451,2025-02-18 01:00:00+00:00,2025-02-18 12:00:00+00:00,0 days 11:00:00,,151.71800231933594,152.2209930419922,151.2259979248047,151.67300415039062,151.4720001220703,151.9469985961914,0.18869720896730846,0.1959882025417472
37462,287,289,152.13352510421754,151.88900756835938,151.8364153755252,,-9160.115928318579,0.0,-0.0016072560975015637,2025-02-19 02:00:00+00:00,2025-02-19 04:00:00+00:00,0 days 02:00:00,,152.16200256347656,152.31300354003906,151.64199829101562,151.74200439453125,151.9020004272461,152.02750396728516,0.21327127027568485,0.21355982167185963
-36119,292,296,151.63048746414185,151.94938306348587,151.94938306348587,,-11518.190152706566,0.0,-0.0021031100320074714,2025-02-19 07:00:00+00:00,2025-02-19 11:00:00+00:00,0 days 04:00:00,,152.31300354003906,152.31300354003906,151.58700561523438,151.5469970703125,151.95000457763672,151.93000030517578,0.2082835532284179,0.21046398312282624
-33528,300,301,151.33349336380005,151.6681646103428,151.6681646103428,,-11220.857554085946,0.0,-0.0022114816694163153,2025-02-19 15:00:00+00:00,2025-02-19 16:00:00+00:00,0 days 01:00:00,,151.9550018310547,151.9550018310547,151.32200622558594,151.24200439453125,151.6385040283203,151.59850311279297,0.22550700359856632,0.2292564946222178
-35283,309,335,151.21948083206178,150.34300231933594,151.53436669577616,,30924.791364505785,0.0,0.0057960687862644855,2025-02-20 00:00:00+00:00,2025-02-21 02:00:00+00:00,1 days 02:00:00,,151.83099365234375,150.447998046875,151.11599731445312,149.26100158691406,151.47349548339844,149.85449981689453,0.22325012575204686,0.32752200337299125
-24664,348,361,149.78550469345095,149.4029998779297,150.2482365636538,,9434.098770016319,0.0,0.002553683791392869,2025-02-21 15:00:00+00:00,2025-02-24 06:00:00+00:00,2 days 15:00:00,,150.6540069580078,149.4980010986328,149.74400329589844,148.83900451660156,150.19900512695312,149.1685028076172,0.3100782911485927,0.28529957591140404
