Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma,Exit_sma,Entry_bb_upper,Exit_bb_upper,Entry_bb_lower,Exit_bb_lower,Entry_atr,Exit_atr
-12783,22,30,159.95173722335267,159.79299926757812,160.8062678429747,158.98098105148947,2029.1472886659544,0.0,0.0009924115769551767,2025-02-03 22:00:00+00:00,2025-02-04 06:00:00+00:00,0 days 08:00:00,,159.0694296700614,159.8366437639509,160.13916675646934,160.68283363559652,157.99969258365346,158.99045389230525,0.5176165638104164,0.4293364590860776
21328,48,49,159.8532526053015,159.40318658539394,159.40318658539394,160.499420449618,-9599.008072588282,0.0,-0.0028154949153197384,2025-02-05 00:00:00+00:00,2025-02-05 01:00:00+00:00,0 days 01:00:00,,160.23128618512834,160.16128649030412,160.72020053592362,160.82941724405526,159.74237183433306,159.49315573655298,0.32198074429110246,0.32926754624743
18016,64,73,158.56322499244735,158.007147256513,158.007147256513,159.2924671915113,-10018.296490593028,0.0,-0.0035069779639057552,2025-02-05 16:00:00+00:00,2025-02-06 01:00:00+00:00,0 days 09:00:00,,159.11471557617188,158.76614379882812,159.57272221872717,159.38655644137725,158.65670893361658,158.145731156279,0.3557181702845394,0.3199192804688001
21739,86,91,157.56019232101286,157.10711131725773,157.10711131725773,158.16153163070064,-9849.527940632783,0.0,-0.0028756058055071643,2025-02-06 14:00:00+00:00,2025-02-06 19:00:00+00:00,0 days 05:00:00,,158.10557338169642,157.80557359967912,158.62818560833583,158.61739709388766,157.582961155057,156.99375010547058,0.29953045455102295,0.31487633585848623
-23041,104,110,157.731795076882,157.48599243164062,158.16010502839842,157.17520867632814,5663.538749006712,0.0,0.001558358256948611,2025-02-07 08:00:00+00:00,2025-02-07 14:00:00+00:00,0 days 06:00:00,,157.37050083705358,157.5963581630162,157.8268930907464,158.01569224094268,156.91410858336076,157.1770240850897,0.27965644533760037,0.29408557597185636
18485,112,112,156.77116986084013,156.2378079550777,156.2378079550777,157.47258540559952,-9859.194828018579,0.0,-0.0034021683083431675,2025-02-07 16:00:00+00:00,2025-02-07 16:00:00+00:00,0 days 00:00:00,,157.4685004098075,157.4685004098075,158.35933796505176,158.35933796505176,156.57766285456321,156.57766285456321,0.3932373280322543,0.3932373280322543
-20881,128,132,157.2968090935733,156.84500122070312,157.76773732033334,156.68568556670397,9434.20019340216,0.0,0.002872327006973152,2025-02-10 09:00:00+00:00,2025-02-10 13:00:00+00:00,0 days 04:00:00,,156.68114362444197,156.84714290073939,157.2610153237275,157.27931153152642,156.10127192515645,156.41497426995235,0.30693208918236,0.2816386721283602
-28882,154,155,156.93382741976487,157.27655311155712,157.27655311155712,156.48660411134833,-9898.603430343863,0.0,-0.002183886657371348,2025-02-11 11:00:00+00:00,2025-02-11 12:00:00+00:00,0 days 01:00:00,,156.6257836478097,156.68228367396765,157.07398573609774,157.23623522293468,156.17758155952166,156.1283321250006,0.2339346032621035,0.23343854203579253
-25378,159,162,157.67480501627944,158.05639639002254,158.05639639002254,157.16647860073817,-9684.025882852546,0.0,-0.00242011635088879,2025-02-11 16:00:00+00:00,2025-02-11 19:00:00+00:00,0 days 03:00:00,,156.97328513009208,157.22842843191964,157.77605472589332,158.11628056431195,156.17051553429084,156.34057629952733,0.250100576938241,0.25025186081746364
-23791,168,169,158.65277581795578,159.06374373694825,159.06374373694825,158.12399781199866,-9777.337760749831,0.0,-0.002590360722487528,2025-02-12 01:00:00+00:00,2025-02-12 02:00:00+00:00,0 days 01:00:00,,157.88392857142858,158.0077863420759,158.8656603386222,159.08809473088374,156.90219680423496,156.92747795326804,0.2853921247793535,0.28029191999600683
-20536,182,182,159.82674054960265,160.29382576219257,160.29382576219257,159.21623402606093,-9592.061925746631,0.0,-0.0029224472136748503,2025-02-12 15:00:00+00:00,2025-02-12 15:00:00+00:00,0 days 00:00:00,,159.35721370152064,159.35721370152064,159.98921443952932,159.98921443952932,158.72521296351195,158.72521296351195,0.3336059184945876,0.3336059184945876
-19769,196,199,161.0637071447644,160.43380916728634,161.54189547438875,160.43380916728634,12452.45311676389,0.0,0.00391086228328219,2025-02-13 05:00:00+00:00,2025-02-13 08:00:00+00:00,0 days 03:00:00,,160.56185695103235,160.55735778808594,161.04649345938464,161.02420198627442,160.07722044268007,160.09051358989745,0.31705446045215624,0.32828254822635344
17785,205,206,159.54124784311477,160.25617080780498,159.008120612408,160.25617080780498,12714.90492701526,0.0,0.004481116791773099,2025-02-13 14:00:00+00:00,2025-02-13 15:00:00+00:00,0 days 01:00:00,,160.37057386125838,160.32421657017298,161.267343087734,161.27144413738492,159.47380463478277,159.37698900296104,0.35540081066893886,0.3817292544381218
22173,239,243,159.35824431629393,158.91924263330606,158.91924263330606,159.9336856035086,-9733.984316890239,0.0,-0.0027548099872168885,2025-02-17 01:00:00+00:00,2025-02-17 05:00:00+00:00,0 days 04:00:00,,159.79714420863561,159.5856454031808,160.14866962267496,160.28022274606295,159.44561879459627,158.89106806029864,0.29628113678523904,0.29176381902587006
-29153,263,269,158.88177363041183,158.947998046875,159.2123248950072,158.44855398927422,-1930.6404131508407,0.0,-0.0004168156922594868,2025-02-18 01:00:00+00:00,2025-02-18 07:00:00+00:00,0 days 06:00:00,,158.72614397321428,158.87585776192802,158.8687911037951,159.16815881668563,158.58349684263345,158.5835567071704,0.21549080705153484,0.21876064367610962
28155,276,283,158.44521037755263,158.82000732421875,158.10175830237282,158.89099462678416,10552.408033384698,0.0,0.0023654671906649938,2025-02-18 14:00:00+00:00,2025-02-18 21:00:00+00:00,0 days 07:00:00,,158.8577139718192,158.73514338902064,159.2274228691474,158.9563536100976,158.488005074491,158.51393316794366,0.23496077956719688,0.20704756352077267
28259,293,295,158.5382151716803,158.19226873760945,158.19226873760945,158.9873194582525,-9776.100280407849,0.0,-0.0021821012283771424,2025-02-19 07:00:00+00:00,2025-02-19 09:00:00+00:00,0 days 02:00:00,,158.7462866646903,158.68621499197823,159.00275454384257,159.11208977634053,158.48981878553803,158.26034020761594,0.22428871384128252,0.23904609605447316
