Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_dc_upper,Exit_dc_upper,Entry_dc_lower,Exit_dc_lower,Entry_dc_midline,Exit_dc_midline,Entry_atr,Exit_atr
34946,30,31,202.71317692377855,202.46200561523438,202.41384240604873,,-8777.432548384659,0.0,-0.0012390477637209685,2025-11-03 07:00:00+00:00,2025-11-03 08:00:00+00:00,0 days 01:00:00,,202.75799560546875,202.78399658203125,202.3520050048828,202.3699951171875,202.55500030517578,202.57699584960938,0.20014264279572597,0.2155610516110982
-30655,32,35,202.23084211427994,202.56233999050258,202.56233999050258,,-10162.067395605081,0.0,-0.0016392053395857253,2025-11-03 09:00:00+00:00,2025-11-03 12:00:00+00:00,0 days 03:00:00,,202.78399658203125,202.78399658203125,202.09800720214844,202.09800720214844,202.44100189208984,202.44100189208984,0.21794904220472514,0.22975169824402103
-26821,38,38,202.04185437513473,202.43277801588147,202.43277801588147,,-10484.962968468171,0.0,-0.0019348646445349615,2025-11-03 15:00:00+00:00,2025-11-03 15:00:00+00:00,0 days 00:00:00,,202.78399658203125,202.78399658203125,202.04200744628906,202.04200744628906,202.41300201416016,202.41300201416016,0.2810040578457134,0.2810040578457134
-27796,50,75,202.22084801052245,199.86300659179688,202.57716531727692,,65538.56007489596,0.0,0.011659734601661254,2025-11-04 03:00:00+00:00,2025-11-05 04:00:00+00:00,1 days 01:00:00,,202.80299377441406,200.19400024414062,202.2270050048828,199.0590057373047,202.51499938964844,199.62650299072266,0.2310096239578788,0.3287065321140116
20535,84,101,200.47108210921007,200.9739990234375,199.96043790257474,,10327.398833660214,0.0,0.0025086756101484475,2025-11-05 13:00:00+00:00,2025-11-06 06:00:00+00:00,0 days 17:00:00,,200.5489959716797,201.17300415039062,199.53900146484375,200.8179931640625,200.04399871826172,200.99549865722656,0.3362747490431985,0.2495675022112352
25894,108,109,201.2251103206758,200.81188417207446,200.81188417207446,,-10700.077891883442,0.0,-0.002053551606669868,2025-11-06 13:00:00+00:00,2025-11-06 14:00:00+00:00,0 days 01:00:00,,201.28500366210938,201.37899780273438,200.63999938964844,200.63999938964844,200.9625015258789,201.0094985961914,0.27423979672828175,0.293723549040659
-21799,111,113,200.50592083843415,200.9881151438507,200.9881151438507,,-10511.3536637755,0.0,-0.002404888112032877,2025-11-06 16:00:00+00:00,2025-11-06 18:00:00+00:00,0 days 02:00:00,,201.37899780273438,201.37899780273438,200.3939971923828,200.29400634765625,200.8864974975586,200.8365020751953,0.3105468625576983,0.3358738071826423
23477,126,129,201.30711436018723,201.03700256347656,200.8653080323463,,-6341.414651376293,0.0,-0.0013417896211426195,2025-11-07 07:00:00+00:00,2025-11-07 10:00:00+00:00,0 days 03:00:00,,201.36099243164062,201.38499450683594,200.69900512695312,200.69900512695312,201.02999877929688,201.04199981689453,0.28054900127447646,0.2854616448010949
20246,134,158,201.6061376497789,202.5070037841797,201.09275272698528,,18238.935757078318,0.0,0.004468445975418289,2025-11-07 15:00:00+00:00,2025-11-10 16:00:00+00:00,3 days 01:00:00,,201.63099670410156,203.23599243164062,200.64500427246094,202.36700439453125,201.13800048828125,202.80149841308594,0.34910121713969006,0.2851325976624991
28512,167,172,203.14819202582382,202.92300415039062,202.77526029117848,,-6420.556704351188,0.0,-0.0011084906697302888,2025-11-11 01:00:00+00:00,2025-11-11 06:00:00+00:00,0 days 05:00:00,,203.1739959716797,203.281005859375,202.46099853515625,202.8260040283203,202.81749725341797,203.05350494384766,0.2362482272522261,0.22813737872512668
