Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma,Exit_sma,Entry_bb_upper,Exit_bb_upper,Entry_bb_lower,Exit_bb_lower,Entry_atr,Exit_atr
-27657,65,69,196.69606167886826,197.06656537585314,197.06656537585314,196.22291710465674,-10247.02074751092,0.0,-0.0018836355635314384,2025-08-06 16:00:00+00:00,2025-08-06 20:00:00+00:00,0 days 04:00:00,,196.31599916730607,196.37939180646623,196.7264406155872,196.82832387795185,195.90555771902496,195.93045973498062,0.2365388925714788,0.24917507497185473
-20537,85,104,197.57603107108383,198.06893601719028,198.06893601719028,196.94443174595983,-10122.788878188152,0.0,-0.002494760844391708,2025-08-07 12:00:00+00:00,2025-08-08 07:00:00+00:00,0 days 19:00:00,,196.75900050571985,197.52092797415597,197.5994557750548,198.70584933194127,195.91854523638492,196.33600661637067,0.33290992423907195,0.277201760496623
-29868,139,147,199.01197779568864,199.3539842078473,199.3539842078473,198.5886900015161,-10215.047518355086,0.0,-0.0017185217490265359,2025-08-11 19:00:00+00:00,2025-08-12 03:00:00+00:00,0 days 08:00:00,,198.6294277736119,198.7669279915946,199.02130332382143,199.48935095454976,198.23755222340236,198.04450502863943,0.2107516461989977,0.20722110051208567
-25234,153,162,199.89094014844162,199.3947727562022,200.29116637401046,199.3947727562022,12520.287975769375,0.0,0.00248219049783327,2025-08-12 09:00:00+00:00,2025-08-12 18:00:00+00:00,0 days 09:00:00,,198.96267863682337,199.327392578125,199.98713077289432,200.28509939638897,197.93822650075242,198.36968575986103,0.2580333406960185,0.2775795087695528
26544,193,193,199.29603166957918,198.92007303261155,198.92007303261155,199.7832202908278,-9979.446059668617,0.0,-0.0018864331307456572,2025-08-14 01:00:00+00:00,2025-08-14 01:00:00+00:00,0 days 00:00:00,,199.7942853655134,199.7942853655134,200.38818038416605,200.38818038416605,199.20039034686073,199.20039034686073,0.25756924478584514,0.25756924478584514
25048,196,205,198.92002468453995,199.43537977669263,198.52996388574223,199.43537977669263,12908.614348240188,0.0,0.0025907652734808995,2025-08-14 04:00:00+00:00,2025-08-14 13:00:00+00:00,0 days 09:00:00,,199.7293210710798,199.47464152744837,200.62250257746712,200.69482877693045,198.83613956469247,198.2544542779663,0.25949730877972743,0.296213215559474
29040,280,288,199.13803579590942,198.79087555227756,198.79087555227756,199.58217732352577,-10081.533475069271,0.0,-0.0017433145920333626,2025-08-19 17:00:00+00:00,2025-08-20 01:00:00+00:00,0 days 08:00:00,,199.57132066999162,199.3778555733817,200.0890948959771,200.1270604140327,199.05354644400614,198.6286507327307,0.22965156008562532,0.2377548862952856
21542,302,318,198.05199346243225,198.375,197.58851765607523,198.6443106463919,6958.206832284465,0.0,0.0016309178813138647,2025-08-20 15:00:00+00:00,2025-08-21 07:00:00+00:00,0 days 16:00:00,,198.95206887381417,198.46257128034318,199.92594383412603,199.4354722132151,197.9781939135023,197.48967034747128,0.30417908411582345,0.2584081918104075
26480,383,385,198.31999438277816,198.8063255342328,197.94124965425704,198.8063255342328,12878.048890518745,0.0,0.0024522547661833816,2025-08-26 01:00:00+00:00,2025-08-26 03:00:00+00:00,0 days 02:00:00,,198.9003573826381,198.89096450805664,199.34726906441722,199.35333024706404,198.453445700859,198.42859876904924,0.24672511114351953,0.2470231887957037
30097,463,469,198.05199346243225,198.34800720214844,197.71453421011464,198.48561678071954,8909.125524238088,0.0,0.0014946264086572736,2025-08-29 09:00:00+00:00,2025-08-29 15:00:00+00:00,0 days 06:00:00,,198.49057061331612,198.39253507341658,198.96511224239475,198.8472698315431,198.0160289842375,197.93780031529008,0.2188584231981898,0.240406997925693
-29922,478,491,199.0199730786946,199.36537184543724,199.36537184543724,198.58283469110972,-10335.021898473498,0.0,-0.001735498007559677,2025-09-01 01:00:00+00:00,2025-09-01 14:00:00+00:00,0 days 13:00:00,,198.4234995160784,198.71217891148157,199.02280172085793,199.6081098204124,197.8241973112989,197.81624800255074,0.21654046951546418,0.20423940834146495
-23128,538,539,199.64595491190718,199.07942493124602,200.08141869780573,199.07942493124602,13102.705392731275,0.0,0.0028376732246397918,2025-09-03 13:00:00+00:00,2025-09-03 14:00:00+00:00,0 days 01:00:00,,198.86246381487166,198.87082072666712,199.6121231296452,199.6246044761469,198.11280450009812,198.11703697718733,0.29169327881742063,0.30314346244541734
24341,588,595,198.8560267422789,200.1750030517578,198.4335878949108,199.39821642494968,32105.202349025873,0.0,0.0066328203931596,2025-09-05 15:00:00+00:00,2025-09-07 23:00:00+00:00,2 days 08:00:00,,199.41778455461775,199.3383560180664,199.95547586852175,200.01908740788014,198.88009324071376,198.65762462825268,0.2732078830890769,0.2968817207805415
-23317,596,603,200.10292195531585,199.52423277425922,200.56331879699113,199.52423277425922,13493.29563469748,0.0,0.002891957675589807,2025-09-08 00:00:00+00:00,2025-09-08 07:00:00+00:00,0 days 07:00:00,,199.36299896240234,199.48939187186105,200.14764227452025,200.47540552165563,198.57835565028444,198.50337822206646,0.2958185750579358,0.2723281876110217
26661,629,645,199.0170287186252,199.34500122070312,198.61146413096586,199.53204013494914,8744.074877899604,0.0,0.0016479620070182222,2025-09-09 09:00:00+00:00,2025-09-10 01:00:00+00:00,0 days 16:00:00,,199.70803451538086,199.37007032121932,200.39228349044336,200.0880490608381,199.02378554031836,198.65209158160053,0.2621635271848187,0.20809658767783112
-37213,679,680,199.96893993227096,199.6009793771376,200.26602038047687,199.6009793771376,13692.916138177387,0.0,0.00184008854204043,2025-09-11 11:00:00+00:00,2025-09-11 12:00:00+00:00,0 days 01:00:00,,199.57464272635323,199.5844999040876,199.98103467466143,200.00657155782045,199.16825077804504,199.16242825035476,0.19172548676562595,0.2151739714581482
-34724,701,702,200.14892534894759,200.4663855838071,200.4663855838071,199.74448047647334,-11023.48919526163,0.0,-0.0015861201068456676,2025-09-12 09:00:00+00:00,2025-09-12 10:00:00+00:00,0 days 01:00:00,,199.83917944771903,199.86185836791992,200.23637842766465,200.3023672165208,199.44198046777342,199.42134951931905,0.21224074086867623,0.2135808884935699
-36201,726,737,200.54391369088623,200.54600524902344,200.84870915246873,200.1633707068646,-75.71649612511763,0.0,-1.0429427145020043e-05,2025-09-15 11:00:00+00:00,2025-09-16 01:00:00+00:00,0 days 14:00:00,,200.19017791748047,200.2683563232422,200.59780762968913,200.74780128261932,199.7825482052718,199.78891136386505,0.19803912877435148,0.20021149412830977
32241,753,770,199.89105688668153,199.55822654227558,199.55822654227558,200.3276990829555,-10730.783133992189,0.0,-0.0016650587054258814,2025-09-16 17:00:00+00:00,2025-09-17 10:00:00+00:00,0 days 17:00:00,,200.32964161464147,200.01656995500838,200.7957597846516,200.6618377021109,199.86352344463134,199.37130220790587,0.2194307230853577,0.21691447771366584
-30217,781,791,200.19592052386824,200.57331660465212,200.57331660465212,199.76059210200032,-11403.777373046558,0.0,-0.0018851337219876196,2025-09-17 21:00:00+00:00,2025-09-18 07:00:00+00:00,0 days 10:00:00,,199.90464292253768,200.0382140023368,200.25977946882747,200.63428266197332,199.54950637624788,199.44214534270026,0.23912041148757876,0.21036755093455867
-28004,793,797,201.0818863783383,200.59332183481573,201.46076652794093,200.59332183481573,13681.761476806481,0.0,0.0024296795316677278,2025-09-18 09:00:00+00:00,2025-09-18 13:00:00+00:00,0 days 04:00:00,,200.12046377999442,200.264463697161,200.97647771185356,201.24475029178416,199.26444984813529,199.28417710253785,0.24592360525714976,0.2881970175385308
25152,813,814,199.811051829153,199.38364403090932,199.38364403090932,200.36212676575371,-10750.160941424987,0.0,-0.002139059848446867,2025-09-19 05:00:00+00:00,2025-09-19 06:00:00+00:00,0 days 01:00:00,,200.47596304757255,200.45878437587194,201.2256240501993,201.27926970602905,199.7263020449458,199.63829904571483,0.27288241597075497,0.2941764680805448
35151,864,866,199.26703880112518,199.65800558343733,198.96498427677747,199.65800558343733,13742.873365054318,0.0,0.001962024350160352,2025-09-23 09:00:00+00:00,2025-09-23 11:00:00+00:00,0 days 02:00:00,,199.60110528128487,199.60474831717355,199.84565982673314,199.84999069320307,199.3565507358366,199.35950594114402,0.20000550455907534,0.20229532406915327
-34807,941,952,200.4029129079506,200.1719970703125,200.71989679385786,200.01080512934837,8037.487560669122,0.0,0.0011522578903040426,2025-09-26 14:00:00+00:00,2025-09-29 02:00:00+00:00,2 days 12:00:00,,199.917176927839,200.12467793055944,200.36626440596476,200.67526627954976,199.46808944971323,199.57408958156913,0.20412629021744613,0.1814093829662299
35708,959,962,199.56004988536378,199.94997429570773,199.25352269618796,199.94997429570773,13923.420844561817,0.0,0.001953920188775049,2025-09-29 09:00:00+00:00,2025-09-29 12:00:00+00:00,0 days 03:00:00,,200.12978526524134,200.10514286586218,200.72431174111284,200.7554835698177,199.53525878936983,199.45480216190666,0.20162947560202155,0.19719609030220225
31669,981,987,199.0150297366423,198.67005833406213,198.67005833406213,199.46559259071662,-10924.89934831144,0.0,-0.0017333937192415272,2025-09-30 07:00:00+00:00,2025-09-30 13:00:00+00:00,0 days 06:00:00,,199.6100343976702,199.40124893188477,200.2362892365433,200.2626447141443,198.9837795587971,198.53985314962523,0.2312747346756381,0.24886969724988708
31122,1005,1010,198.26399236844864,197.91457188579005,197.91457188579005,198.71589389837368,-10874.66426130055,0.0,-0.0017624001135275735,2025-10-01 07:00:00+00:00,2025-10-01 12:00:00+00:00,0 days 05:00:00,,198.8340001787458,198.67421395438058,199.44181977248843,199.40357580588054,198.2261805850032,197.94485210288062,0.22995250855017138,0.24591141790098855
29314,1032,1035,197.92198333652283,198.15699768066406,197.5531153370315,198.3951829685934,6889.21048415614,0.0,0.0011874089991390502,2025-10-02 10:00:00+00:00,2025-10-02 13:00:00+00:00,0 days 03:00:00,,198.2301068987165,198.20203563145228,198.62053715929326,198.6907931005799,197.83967663813976,197.71327816232466,0.24583502817785097,0.28089845040902456
-19909,1069,1070,200.8968962806961,201.442842504993,201.442842504993,200.1948877684078,-10869.243379526946,0.0,-0.002717544344408962,2025-10-06 00:00:00+00:00,2025-10-06 01:00:00+00:00,0 days 01:00:00,,198.5623937334333,198.68910816737585,200.44440487438146,200.96510251515414,196.68038259248516,196.41311381959756,0.36980484974733085,0.3735328655019858
-21823,1110,1111,203.40880363837874,203.89995589622288,203.89995589622288,202.77307617971064,-10718.415722932557,0.0,-0.0024146066888890427,2025-10-07 17:00:00+00:00,2025-10-07 18:00:00+00:00,0 days 01:00:00,,202.65882219587053,202.7217151096889,203.51067999246655,203.712342360243,201.8069643992745,201.73108785913476,0.32139632814912816,0.33043930805811905
18653,1157,1171,203.69721013851105,203.13372493197375,203.13372493197375,204.43868414018084,-10510.689557540409,0.0,-0.002766288287179508,2025-10-09 16:00:00+00:00,2025-10-10 06:00:00+00:00,0 days 14:00:00,,204.41224942888533,203.83081981113978,205.16864005696794,205.04577456767518,203.65585880080272,202.61586505460437,0.3722854884238059,0.3266853048999068
17702,1186,1187,202.02514563655672,202.70700073242188,201.24663583679353,202.60782315673623,12070.19890700506,0.0,0.0033751001327915198,2025-10-10 21:00:00+00:00,2025-10-12 23:00:00+00:00,2 days 02:00:00,,202.9980343409947,202.97478430611747,204.25015624382561,204.21253905948572,201.7459124381638,201.73702955274922,0.37448821977793206,0.40495298072571373
24742,1218,1218,202.38915872969864,201.96372639241304,201.96372639241304,202.9490351795821,-10526.046889120296,0.0,-0.0021020510187197416,2025-10-14 06:00:00+00:00,2025-10-14 06:00:00+00:00,0 days 00:00:00,,202.93671308244978,202.93671308244978,203.71099373549993,203.71099373549993,202.16243242939964,202.16243242939964,0.31612320157634416,0.31612320157634416
-23383,1269,1274,203.23380764449402,202.64526961354753,203.67729885795458,202.64526961354753,13761.784777621891,0.0,0.002895866774173639,2025-10-16 09:00:00+00:00,2025-10-16 14:00:00+00:00,0 days 05:00:00,,202.42682102748327,202.6052142551967,203.3015144354365,203.4510033283335,201.55212761953004,201.75942518205989,0.28844666502006017,0.3265695610962535
-21065,1340,1341,202.8358134423413,203.3415071911367,203.3415071911367,202.1806434066094,-10652.438818375285,0.0,-0.0024931186471128797,2025-10-21 09:00:00+00:00,2025-10-21 10:00:00+00:00,0 days 01:00:00,,202.25685664585657,202.29774911063058,202.9202228863236,203.12013011195768,201.59349040538956,201.47536810930347,0.33648441759263187,0.3317347458840064
21519,1364,1368,202.061142571653,202.69574740159536,201.5709285540281,202.69574740159536,13656.061335529675,0.0,0.003140657435990235,2025-10-22 09:00:00+00:00,2025-10-22 13:00:00+00:00,0 days 04:00:00,,202.9089638846261,202.85882132393974,203.81841306454442,203.8592243432052,201.9995147047078,201.85841830467427,0.31449319144243587,0.3282542641042893
28645,1454,1457,203.0011829233577,202.6290900807296,202.6290900807296,203.48521835264697,-10658.599477081698,0.0,-0.0018329589870842433,2025-10-28 05:00:00+00:00,2025-10-28 08:00:00+00:00,0 days 03:00:00,,203.75660596575057,203.6310702732631,204.45264216981624,204.7325271288549,203.0605697616849,202.5296134176713,0.24549348529703588,0.30529314898711174
22718,1458,1462,202.21214963808487,201.74805392886307,201.74805392886307,202.816579950318,-10543.32632210073,0.0,-0.002295093099264456,2025-10-28 09:00:00+00:00,2025-10-28 13:00:00+00:00,0 days 04:00:00,,203.57182039533342,203.3385353088379,204.8195456336064,205.09736245540427,202.32409515706044,201.57970816227152,0.3019147530215145,0.3085377692540781
-17782,1501,1503,201.9278605596048,202.5261170060328,202.5261170060328,201.17485851832348,-10638.196130382625,0.0,-0.002962723641849241,2025-10-30 04:00:00+00:00,2025-10-30 06:00:00+00:00,0 days 02:00:00,,201.3588927132743,201.41407176426478,202.00299462752577,202.29956870191353,200.7147907990228,200.52857482661602,0.39778308206884855,0.42568509932789905
-15608,1506,1520,203.04280582642363,202.6909942626953,203.70497439736593,202.18137202747042,5491.074886671599,0.0,0.0017326965232595803,2025-10-30 09:00:00+00:00,2025-10-30 23:00:00+00:00,0 days 14:00:00,,201.5445714678083,202.3116068158831,202.93497660880425,203.77907038084487,200.15416632681237,200.84414325092132,0.4420072481973296,0.34955230281339056
