Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_sma,Exit_sma,Entry_bb_upper,Exit_bb_upper,Entry_bb_lower,Exit_bb_lower,Entry_atr,Exit_atr
21813,17,25,147.09847109207155,146.63457927938205,146.63457927938205,147.70423303927447,-10118.872110195985,0.0,-0.0031536141011223595,2025-08-04 16:00:00+00:00,2025-08-05 00:00:00+00:00,0 days 08:00:00,,147.49564361572266,147.0509981427874,147.95552871902277,147.254094066199,147.03575851242255,146.84790221937578,0.29928535134701395,0.26053880372993776
-26872,29,30,147.21352418792725,147.08399963378906,147.58436659774793,146.7248525115965,3480.5838188013336,0.0,0.0008798414062340942,2025-08-05 04:00:00+00:00,2025-08-05 05:00:00+00:00,0 days 01:00:00,,147.0285699026925,147.03428431919642,147.18784309554036,147.20155645439863,146.86929670984466,146.8670121839942,0.24674816425876547,0.24248018538034918
-26739,32,35,147.32453076828003,147.69648746802977,147.69648746802977,146.82967625519208,-9945.750194608438,0.0,-0.0025247438278610534,2025-08-05 07:00:00+00:00,2025-08-05 10:00:00+00:00,0 days 03:00:00,,147.0844268798828,147.21192714146204,147.31843955188958,147.5958343467722,146.85041420787604,146.8280199361519,0.25389937276378005,0.24917219288608147
33153,53,56,147.40047606521608,147.54600524902344,147.0983791858098,147.7905043879958,4824.729030765237,0.0,0.00098730470682451,2025-08-06 04:00:00+00:00,2025-08-06 07:00:00+00:00,0 days 03:00:00,,147.54957144601005,147.54264286586218,147.68045712783876,147.674533614506,147.41868576418133,147.41075211721835,0.19398250167410916,0.19274291432596202
-32957,58,60,147.80851945861818,147.58099365234375,148.1018580767481,147.4021937882942,7498.567997386341,0.0,0.001539328092235781,2025-08-06 09:00:00+00:00,2025-08-06 11:00:00+00:00,0 days 02:00:00,,147.5720716203962,147.56850106375558,147.7659186779791,147.7624958400748,147.3782245628133,147.37450628743636,0.19855377337568597,0.2057477207993
32322,63,64,147.2474746572876,147.65075405891903,146.93194406884783,147.65075405891903,13034.796819531304,0.0,0.0027387865399393085,2025-08-06 14:00:00+00:00,2025-08-06 15:00:00+00:00,0 days 01:00:00,,147.52585928780692,147.49450138637,147.76719864467927,147.74577447012803,147.28451993093458,147.24322830261195,0.20506103192418673,0.22305672481687874
29777,68,69,147.06946384399416,147.5186935336073,146.72823219964803,147.5186935336073,13376.71246761028,0.0,0.003054540880693457,2025-08-06 19:00:00+00:00,2025-08-06 20:00:00+00:00,0 days 01:00:00,,147.4290008544922,147.41492898123605,147.75564039093166,147.73869298160426,147.10236131805271,147.09116498086783,0.2186428028871472,0.2368825329264581
-29232,74,78,147.58052491241455,147.3000030517578,147.93265606859947,147.11677453385957,8200.215030717638,0.0,0.0019008054133377028,2025-08-07 01:00:00+00:00,2025-08-07 05:00:00+00:00,0 days 04:00:00,,147.30914088657923,147.33199746268136,147.5081540050339,147.55579973602238,147.11012776812456,147.10819518934034,0.23145884592150742,0.22201063493047618
28324,80,82,146.85147460357666,147.34001368194677,146.49123226173327,147.34001368194677,13837.38085575499,0.0,0.003326756368561501,2025-08-07 07:00:00+00:00,2025-08-07 09:00:00+00:00,0 days 02:00:00,,147.26564025878906,147.28156934465682,147.61336846077265,147.6231846799756,146.91791205680548,146.93995400933804,0.24482932858103718,0.2553886720589523
27779,95,99,147.02646414642334,147.28199768066406,146.6521141361032,147.52918086703167,7098.466047673131,0.0,0.0017380104712729771,2025-08-07 22:00:00+00:00,2025-08-08 02:00:00+00:00,0 days 04:00:00,,147.27442714146204,147.21556963239397,147.53574241504504,147.529164601873,147.01311186787905,146.90197466291494,0.25076193941565067,0.2553176578631993
-26872,106,116,147.6455267037964,147.66200256347656,148.03720471518412,147.1243845985045,-442.73930132515716,0.0,-0.00011159064583932121,2025-08-08 09:00:00+00:00,2025-08-08 19:00:00+00:00,0 days 10:00:00,,147.23121316092355,147.69621385846818,147.59011307914975,147.9428477905301,146.87231324269735,147.44957992640627,0.2554628112691179,0.2163029069762247
