Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_dc_upper,Exit_dc_upper,Entry_dc_lower,Exit_dc_lower,Entry_dc_midline,Exit_dc_midline,Entry_atr,Exit_atr
-31991,74,104,95.53039314283264,95.45099639892578,95.8555823500858,,2539.981234324206,0.0,0.0008311150126656397,2025-02-06 02:00:00+00:00,2025-02-07 08:00:00+00:00,1 days 06:00:00,,96.75199890136719,96.01599884033203,95.38899993896484,94.84500122070312,96.07049942016602,95.43050003051758,0.20236099507497282,0.18656565269140715
-27646,113,114,94.73442630902252,95.06600189208984,95.09862803462433,,-9166.738569479121,0.0,-0.0035000537395530884,2025-02-07 17:00:00+00:00,2025-02-07 18:00:00+00:00,0 days 01:00:00,,95.73100280761719,95.69300079345703,94.48500061035156,94.48500061035156,95.10800170898438,95.0890007019043,0.25255579587142063,0.25687349188339503
37578,156,200,95.72462066796204,96.55699920654297,95.45665581184399,,31279.120722794036,0.0,0.008695553273260659,2025-02-11 13:00:00+00:00,2025-02-13 09:00:00+00:00,1 days 20:00:00,,95.74299621582031,97.33200073242188,94.84300231933594,95.79000091552734,95.29299926757812,96.56100082397461,0.170856193393454,0.21776871911521695
-45651,257,265,96.26635768450485,96.49545514419682,96.49545514419682,,-10458.52813239817,0.0,-0.0023798288956022873,2025-02-17 19:00:00+00:00,2025-02-18 03:00:00+00:00,0 days 08:00:00,,96.98899841308594,96.98899841308594,96.26799774169922,96.05999755859375,96.62849807739258,96.52449798583984,0.14451775562910082,0.18489202398861718
-39839,310,335,95.87837592112716,95.86799621582031,96.13456398758962,,413.51707971944484,0.0,0.00010825908560851971,2025-02-20 00:00:00+00:00,2025-02-21 01:00:00+00:00,1 days 01:00:00,,96.76399993896484,96.54299926757812,95.79100036621094,95.3219985961914,96.27750015258789,95.93249893188477,0.17473163523265006,0.20030330224234655
-31644,352,359,95.06341281173874,95.39362792975902,95.39362792975902,,-10449.327194633646,0.0,-0.0034736299513487,2025-02-21 18:00:00+00:00,2025-02-24 02:00:00+00:00,2 days 08:00:00,,96.49500274658203,96.49500274658203,95.04000091552734,94.64199829101562,95.76750183105469,95.56850051879883,0.2186992464054164,0.22002395231112995
-30257,389,392,94.60043771947159,94.93586800629797,94.93586800629797,,-10149.114188505782,0.0,-0.003545758295760315,2025-02-25 08:00:00+00:00,2025-02-25 11:00:00+00:00,0 days 03:00:00,,95.67900085449219,95.4540023803711,94.58999633789062,94.53299713134766,95.1344985961914,94.99349975585938,0.22615875504969332,0.22663357101055587
-25536,397,404,94.40544743533263,94.65599822998047,94.79925589818536,,-6398.065092127141,0.0,-0.0026539866231709563,2025-02-25 16:00:00+00:00,2025-02-25 23:00:00+00:00,0 days 07:00:00,,95.4540023803711,95.4489974975586,94.01000213623047,94.01000213623047,94.73200225830078,94.72949981689453,0.26353723367250226,0.23602410922927824
-28414,424,437,93.92146963356063,94.27557893614268,94.27557893614268,,-10061.66172356625,0.0,-0.0037702700347814755,2025-02-26 19:00:00+00:00,2025-02-27 08:00:00+00:00,0 days 13:00:00,,95.26100158691406,94.74199676513672,93.84600067138672,93.70700073242188,94.55350112915039,94.2244987487793,0.2298094868015855,0.2259858196069137
-25996,444,462,93.63248211592757,93.60099792480469,94.01502969727687,,818.4630324305278,0.0,0.0003362528730563863,2025-02-27 15:00:00+00:00,2025-02-28 09:00:00+00:00,0 days 18:00:00,,94.74199676513672,94.51200103759766,93.58300018310547,92.7239990234375,94.1624984741211,93.61800003051758,0.2629229744535811,0.2709903981215914
26229,488,491,94.0885401276114,93.71300234798085,93.71300234798085,,-9849.980421929647,0.0,-0.003991323269775582,2025-03-03 12:00:00+00:00,2025-03-03 15:00:00+00:00,0 days 03:00:00,,94.10099792480469,94.24299621582031,92.7239990234375,92.7239990234375,93.4124984741211,93.4834976196289,0.24311651727254802,0.2463330322516652
-20403,515,518,92.10155777192169,92.57968427448546,92.57968427448546,,-9755.215031808559,0.0,-0.005191296587488736,2025-03-04 15:00:00+00:00,2025-03-04 18:00:00+00:00,0 days 03:00:00,,94.24299621582031,94.24299621582031,92.0999984741211,91.85199737548828,93.1714973449707,93.0474967956543,0.32485050162530216,0.3430631278152645
19255,544,556,94.31855458450698,93.81809669992052,93.81809669992052,,-9636.316567712423,0.0,-0.005306038528591683,2025-03-05 20:00:00+00:00,2025-03-06 08:00:00+00:00,0 days 12:00:00,,94.38099670410156,94.71800231933594,91.85199737548828,91.94499969482422,93.11649703979492,93.33150100708008,0.3175839311596906,0.2731254130053639
