segment,start,end_exclusive,trade_count,pnl_jpy,return_pct
1,2024-01-06,2024-07-08,59,-11931.291999997236,-1.1931291999997236
2,2024-07-08,2025-01-08,68,34729.23999999567,3.514860830912537
3,2025-01-08,2025-07-11,64,-46990.371000002866,-4.594296565796682
4,2025-07-11,2026-01-11,56,-68893.70750000328,-7.0601734526195
5,2026-01-11,2026-07-14,45,-123393.21350000707,-13.605835972939447
